,name,address,borough,cuisine,phone,critical_flag,latitude,longitude,qualify_alcohol,seating_interest
5435,abdullah sweets & restaurant,"7306 37th ave, queens, ny",queens,indian,7184069457,critical,40.748867346592,-73.892520538155,no,both
5643,slattery's midtown pub,"8 east   36 street, manhattan, ny",manhattan,american,2126836444,not critical,40.749451657071,-73.98301535674099,yes,sidewalk
5892,mama rosaria's pizzeria restaurant,"2146 forest avenue, staten island, ny",staten island,pizza,7188150557,critical,40.62656060254,-74.160962289971,yes,sidewalk
6110,emmy,"919 fulton street, brooklyn, ny",brooklyn,american,3478449588,not critical,40.683381422171,-73.966407027011,yes,sidewalk
6297,momento's pizza coffee shop,"4053 99th st, queens, ny",queens,pizza,7187792026,critical,40.748628165490004,-73.86606257587499,yes,both
6551,benny's chao king restaurant,"906 columbus avenue, manhattan, ny",manhattan,chinese,2128643790,critical,40.798161077847,-73.963668927959,no,both
6756,triona's bar restaurant,"192 3 avenue, manhattan, ny",manhattan,irish,6464484671,not critical,40.735387854614004,-73.985663899313,yes,sidewalk
6967,shamrock inn,"1729 crosby avenue, bronx, ny",bronx,irish,7188228889,not critical,40.845892424158,-73.831539981755,no,sidewalk
7114,golden steamer,"143 mott street, manhattan, ny",manhattan,bakery products/desserts,2122261886,not applicable,40.718681310365,-73.996645049413,yes,roadway
7356,hunan kitchen flushing,"4247 main st, queens, ny",queens,chinese,7188880553,critical,40.753912788297,-73.82769487214401,yes,sidewalk
7568,pho saigon,"987 1 avenue, manhattan, ny",manhattan,southeast asian,2126886888,critical,40.756523330784,-73.964229545987,yes,both
7792,bahary fish market,"484 bay ridge avenue, brooklyn, ny",brooklyn,mediterranean,6465412151,not critical,40.633742230444,-74.021642407098,yes,sidewalk
8004,looking glass,"1087 broadway, brooklyn, ny",brooklyn,italian,9178542414,critical,40.694396612715,-73.930646425188,yes,sidewalk
8230,khao kang,"7620 woodside ave, queens, ny",queens,thai,7188061807,critical,40.743428984264,-73.88861016487199,no,both
8231,champ gourmet,"30 broad street, manhattan, ny",manhattan,american,2123634000,not critical,40.706172894713,-74.011249591231,no,sidewalk
8435,john's pizzeria,"8502 grand avenue, queens, ny",queens,pizza,7184577561,not critical,40.734921850516,-73.882013926505,yes,roadway
8691,levain bakery,"351 amsterdam avenue, manhattan, ny",manhattan,bakery products/desserts,9174643782,critical,40.781647067212,-73.979403436095,no,sidewalk
8907,mochii,"116 east    7 street, manhattan, ny",manhattan,frozen desserts,9175757454,not critical,40.726404074391,-73.984410292466,no,both
9147,jamaica breeze restaurant,"23202 merrick blvd, queens, ny",queens,caribbean,3478948049,not critical,40.675150949463,-73.73765574513601,no,sidewalk
9367,the stumble inn,"1454 2 avenue, manhattan, ny",manhattan,american,2126500561,critical,40.771281983582,-73.956538796394,yes,both
9529,donato's pizzeria restaurant,"5022 39 avenue, queens, ny",queens,pizza,7185074591,critical,40.748832608482,-73.913074504463,no,sidewalk
9762,som bo,"143 8th ave, manhattan, ny",manhattan,asian/asian fusion,9173856399,not critical,40.741751107194,-74.00107540085101,yes,sidewalk
9971,ankara one,"1425 kings highway, brooklyn, ny",brooklyn,turkish,6465086777,not critical,40.608501345574005,-73.95888170688501,no,sidewalk
10176,rio de la plata bakery,"9465 corona ave, queens, ny",queens,bakery products/desserts,7182715422,critical,40.742302665669,-73.869471186058,no,sidewalk
10377,apollo cafe & bakery,"4102 delong st, queens, ny",queens,coffee/tea,9173738400,not critical,40.754797811433,-73.836012342281,no,sidewalk
10602,the legend,"4032 149th pl, queens, ny",queens,korean,9175828629,critical,40.762613005226,-73.81491499758,no,both
10838,smashburger,"5210 kings highway, brooklyn, ny",brooklyn,american,7182606215,critical,40.63638594590999,-73.92660672336099,no,sidewalk
11004,aris sports bar restaurant,"4514 3 avenue, brooklyn, ny",brooklyn,spanish,3476892538,critical,40.650341357333005,-74.01183115825201,yes,roadway
11190,giulia's cucina & desserts,"1611-13 bay ridge pkwy, brooklyn, ny",brooklyn,italian,7182592900,not critical,40.616089825075996,-74.000450238504,no,sidewalk
11414,panino rustico ii,"5801 avenue n, brooklyn, ny",brooklyn,italian,7184447261,critical,40.619434562782004,-73.919061043703,yes,both
11626,sonrisa azul,"9606 37th ave, queens, ny",queens,"juice, smoothies, fruit salads",3476598466,critical,40.751578578049,-73.87066565386999,yes,sidewalk
11855,dario the baker pizzeria,"4392 victory boulevard, staten island, ny",staten island,pizza,7185244514,not critical,40.587309470559,-74.198109415166,no,roadway
12093,chateau de capitaine,"2570 coney island avenue, brooklyn, ny",brooklyn,seafood,7183392800,critical,40.594168770417,-73.960885366286,yes,both
12242,richie rich,"260 east  167 street, bronx, ny",bronx,caribbean,9292254490,not critical,40.83341319403,-73.914492177756,no,both
12449,mondayoff by plant love house,"752 coney island avenue, brooklyn, ny",brooklyn,thai,7189412022,not critical,40.639210374174,-73.96878942007,no,sidewalk
12691,pollo inka peru,"11220 queens boulevard, queens, ny",queens,peruvian,7182752828,not critical,40.717792819196,-73.835999126601,no,both
12923,ninos 46,"39 west   46 street, manhattan, ny",manhattan,italian,2127194015,critical,40.756604082261,-73.980382174536,yes,roadway
13169,domino's,"3706 east tremont avenue, bronx, ny",bronx,pizza,2035360660,not critical,40.82704188951,-73.822659232635,no,sidewalk
13170,the new ranch,"1619 westchester avenue, bronx, ny",bronx,american,7189910708,critical,40.829462733825004,-73.87474509635899,yes,sidewalk
13374,hot bagels,"7905 metropolitan avenue, queens, ny",queens,bagels/pretzels,7183268510,not critical,40.71320780297,-73.8741022867,no,sidewalk
13581,eclair bakery,"305 east   53 street, manhattan, ny",manhattan,bakery products/desserts,2127592253,not critical,40.756584465857,-73.9667237015,no,sidewalk
13584,downs river restaurant,"517 stanley avenue, brooklyn, ny",brooklyn,caribbean,7182724646,critical,40.657076238083,-73.889201820199,no,sidewalk
13749,shake shack,"51 astor pl, manhattan, ny",manhattan,hamburgers,6468132190,not critical,40.730176045337,-73.99046018774101,yes,sidewalk
13972,my bakery ny,"5902 7 avenue, brooklyn, ny",brooklyn,bakery products/desserts,7184365318,critical,40.637306448837,-74.01126315824,no,both
14137,smoke,"2751 broadway, manhattan, ny",manhattan,american,2128646662,critical,40.801112946301,-73.96791136194,yes,both
14138,i love dim sum,"123 avenue u, brooklyn, ny",brooklyn,chinese,7189962882,not critical,40.59625696493,-73.97980292159001,yes,sidewalk
14350,foody's dumpling,"578 9 avenue, manhattan, ny",manhattan,chinese,9176393564,not critical,40.758288065537,-73.99271938217,yes,both
14562,chipotle mexican grill,"5102 avenue u, brooklyn, ny",brooklyn,tex-mex,3476013468,critical,40.609969984731,-73.92222034217801,yes,sidewalk
14779,gigi's pizza & pasta,"2020 eastchester road, bronx, ny",bronx,pizza,7186844918,not critical,40.853852521707,-73.84343786915,no,sidewalk
15025,kreyol flavor,"2816 church avenue, brooklyn, ny",brooklyn,caribbean,7188562100,critical,40.650718505144,-73.951002939882,yes,sidewalk
15258,que chevere,"115 delancey street, manhattan, ny",manhattan,spanish,9178556740,critical,40.718502330547,-73.988084546292,no,sidewalk
15461,harbor eats,"1000 richmond ter, staten island, ny",staten island,american,9178373872,critical,40.645224538002,-74.10467411188,no,sidewalk
15660,jin jin hong kong cafe,"6224 18 avenue, brooklyn, ny",brooklyn,chinese/japanese,7182326222,not critical,40.620686773751004,-73.988609979365,no,sidewalk
15759,dunkin,"7519 5 avenue, brooklyn, ny",brooklyn,donuts,7184397305,not critical,40.62925704674,-74.02271813085,yes,roadway
15988,el pasillo,"3769 103 street, queens, ny",queens,latin american,7184268738,not critical,40.752759564044,-73.864177385157,yes,both
16142,prince kabab & chinese restaurant,"3756 74th st, queens, ny",queens,indian,3479721965,critical,40.747623098085,-73.891595027492,no,both
16295,loreto kitchen & bar,"280 ashland place, brooklyn, ny",brooklyn,,7185541121,not applicable,40.6869854225,-73.978235678483,yes,both
16296,americas cafe & grill,"1159 3 avenue, manhattan, ny",manhattan,american,2126280740,not critical,40.766837648140005,-73.962707746018,no,sidewalk
16297,2020 sabores latinos rest & bakery,"12404 jamaica ave, queens, ny",queens,latin american,3475714461,critical,40.700807697933,-73.82636841254501,no,sidewalk
16539,las margaritas,"3801 broadway, queens, ny",queens,mexican,7187771707,not critical,40.759292213171,-73.919673741624,yes,roadway
16540,keane's bar & restaurant,"4342 katonah avenue, bronx, ny",bronx,irish,9292377958,not critical,40.900062984423,-73.867640883899,yes,both
16541,mi pequena cholula deli restaurante,"1481 myrtle avenue, brooklyn, ny",brooklyn,mexican,7184974982,critical,40.698987517705,-73.916630746068,no,sidewalk
16666,mercato,"352 west   39 street, manhattan, ny",manhattan,italian,2126432000,critical,40.755941292986,-73.99266549717,yes,both
16813,luxor lounge,"118 macdougal street, manhattan, ny",manhattan,american,2124755544,not critical,40.729748256599,-74.000681926208,yes,roadway
17041,lamia's fish market,"45 avenue b, manhattan, ny",manhattan,mediterranean,2127773650,not critical,40.722964641657,-73.98273351658001,yes,both
17042,harry's italian,"2 gold street, manhattan, ny",manhattan,italian,2127470797,critical,40.707287588593005,-74.007336342619,yes,sidewalk
17043,mami ysabel,"5412 flushing ave, queens, ny",queens,latin american,6463991842,critical,40.715170811534,-73.91309693052301,yes,both
17277,la colombe,"7 bryant park, manhattan, ny",manhattan,coffee/tea,2679740928,critical,40.753242483558004,-73.98527384124,no,both
17498,asia kitchen,"8746 britton avenue, queens, ny",queens,chinese,7185050999,not critical,40.747818833709005,-73.87873923329701,no,sidewalk
17719,little italy pizza,"55 west   45 street, manhattan, ny",manhattan,pizza,2127307575,critical,40.756137611511,-73.98120889028,yes,sidewalk
17873,ample hills creamery,"3402 30th ave, queens, ny",queens,frozen desserts,9178640921,critical,40.765695164287,-73.918860952359,no,sidewalk
18036,meng bao lai,"4310 8 avenue, brooklyn, ny",brooklyn,chicken,6469162888,critical,40.644915536788,-73.999776584852,yes,both
18248,sabay thai,"7519 broadway, queens, ny",queens,thai,7184249054,not critical,40.746109286570004,-73.890074515959,yes,roadway
18249,big gay ice cream,"207 front street, manhattan, ny",manhattan,frozen desserts,2122271715,critical,40.707073691179,-74.003029748252,no,sidewalk
18481,momo ramen,"78 5 avenue, brooklyn, ny",brooklyn,soups,6462415342,critical,40.68064212633,-73.97760320485,no,roadway
18483,new china,"5690 mosholu avenue, bronx, ny",bronx,chinese,7188841111,not critical,40.905434879643,-73.900843816155,yes,both
18690,falafel on broadway,"3151 broadway, manhattan, ny",manhattan,middle eastern,2122222300,not critical,40.814315191016995,-73.95929957314901,no,sidewalk
18691,vin sur vingt,"1 west   59 street, manhattan, ny",manhattan,french,6465599429,critical,40.764589998606,-73.973726638377,yes,sidewalk
18835,ipic theaters,"11 fulton street, manhattan, ny",manhattan,american,2127768272,critical,40.706631770479,-74.003476973664,yes,sidewalk
19044,papasito mexican grill,"223 dyckman street, manhattan, ny",manhattan,mexican,2125440001,critical,40.865727653867005,-73.927487897891,yes,both
19045,1001 nights cafe,"2025 richmond avenue, staten island, ny",staten island,american,7183708080,critical,40.598281573201,-74.162521484316,yes,sidewalk
19267,el castillo de jagua ii,"521 grand street, manhattan, ny",manhattan,spanish,2129950244,critical,40.714573786457,-73.982082786248,no,sidewalk
19268,bestia kitchen,"1353 edward l grant highway, bronx, ny",bronx,spanish,9178012958,critical,40.840181173717,-73.921415268261,yes,both
19375,gaetana's cucina italiana,"143 christopher street, manhattan, ny",manhattan,italian,2126753913,critical,40.732822137636,-74.007692772505,yes,both
19523,parlay,"4024 8 avenue, brooklyn, ny",brooklyn,american,9173615018,critical,40.646537686336,-73.99807569999099,yes,both
19654,new crispy bamboo,"2526 frederick douglas boulevard, manhattan, ny",manhattan,chinese,2126945396,critical,40.816234111152,-73.946722298639,yes,openstreets
19874,joe's restaurant,"6611 forest avenue, queens, ny",queens,italian,7184971300,not critical,40.707433788155,-73.903411803625,yes,both
20082,best wingers,"174 delancey street, manhattan, ny",manhattan,chicken,6468827370,not critical,40.717557800735,-73.98524928938501,yes,sidewalk
20277,cafe r,"116 west   32 street, manhattan, ny",manhattan,american,2126959550,critical,40.74881290184,-73.989472221139,yes,both
20278,souen,"326 east    6 street, manhattan, ny",manhattan,japanese,2123881155,not critical,40.727049499467,-73.98774747479399,yes,sidewalk
20425,raco caliendo pizza,"1512 fulton street, brooklyn, ny",brooklyn,pizza,7187743043,critical,40.679885044808,-73.940515045638,no,both
20655,international house dining,"500 riverside drive, manhattan, ny",manhattan,american,2123168479,critical,40.814549575644,-73.962474984377,yes,sidewalk
20888,tomo japanese cafe,"8914 queens blvd, queens, ny",queens,japanese,7188039799,critical,40.734597854657004,-73.874159141207,no,roadway
21142,xin li,"801 59 street, brooklyn, ny",brooklyn,chinese,7188518086,critical,40.63587664711,-74.00861472555701,no,both
21390,uogashi,"318 west   51 street, manhattan, ny",manhattan,japanese,2125811581,not critical,40.763241787281,-73.986466497649,no,sidewalk
21594,gomi-wine-food-friends,"186 avenue a, manhattan, ny",manhattan,tapas,6467070707,not critical,40.728868436218,-73.981465563343,yes,sidewalk
21710,da francesco,"442 graham avenue, brooklyn, ny",brooklyn,italian,7183491627,critical,40.718292135071,-73.944993559069,yes,sidewalk
21849,mama's restaurant jamaican and american food,"2347 2 avenue, manhattan, ny",manhattan,caribbean,2124104210,not critical,40.799729834734,-73.935766267997,yes,roadway
22059,ivy juice bar & deli inc,"800 east  149 street, bronx, ny",bronx,"juice, smoothies, fruit salads",9174719220,critical,40.81268966085,-73.90651701704701,no,sidewalk
22264,1 quetzal,"7210 new utrecht avenue, brooklyn, ny",brooklyn,mexican,9296669989,not critical,40.618049600245,-73.999315617304,yes,sidewalk
22390,white castle,"21317 northern boulevard, queens, ny",queens,hamburgers,7182247333,not critical,40.760135659759,-73.770031208298,no,sidewalk
22619,parrilla latina,"2501 webster avenue, bronx, ny",bronx,spanish,7183293000,not critical,40.861047508586005,-73.892042095807,yes,both
22861,la cemita mexican grill,"6417 20 avenue, brooklyn, ny",brooklyn,mexican,7183762364,critical,40.616953501234995,-73.985390471201,yes,sidewalk
23134,bravo african restaurant 2,"3744 white plains road, bronx, ny",bronx,african,3474650822,not critical,40.882689279405,-73.863281665997,no,both
23142,j's on the bay,"1189 bay street, staten island, ny",staten island,american,7187200922,not critical,40.614377077488996,-74.066338239826,yes,both
23281,kennedy fried chicken,"8905c 165th st, queens, ny",queens,chicken,5168283189,critical,40.707378251953,-73.796089608214,no,sidewalk
23499,sakura kai,"3515 ditmars blvd, queens, ny",queens,japanese,7187772188,critical,40.774734266490995,-73.908718766609,yes,both
23500,panino toasty delicious,"5401 13 avenue, brooklyn, ny",brooklyn,,7185000344,not applicable,40.632165919487,-73.99508220660401,no,sidewalk
23702,elegant chinese restaurant,"21206 hillside avenue, queens, ny",queens,chinese,7187768270,critical,40.724807096616004,-73.75387149782699,no,both
23929,numero 28,"107-12 70 road, queens, ny",queens,italian,7185444600,critical,40.721116246567,-73.845529443198,yes,both
23979,new york grill restaurant,"65-16 myrtle avenue, queens, ny",queens,american,7183810100,not critical,40.701179844576004,-73.88974134788499,yes,both
24212,sabor latino restaurant,"9535 40 road, queens, ny",queens,latin american,7184573966,not critical,40.748533707038,-73.869845103999,yes,both
24213,applebee's,"3801 35 avenue, queens, ny",queens,american,7189437404,not critical,40.755451682811,-73.92278253859199,no,sidewalk
24304,mura,"369 5 avenue, brooklyn, ny",brooklyn,japanese,7189651288,critical,40.671278094837,-73.984531374345,yes,both
24334,cor thai you,"1310 cortelyou road, brooklyn, ny",brooklyn,thai,7186767388,critical,40.640505109754,-73.965974688516,yes,sidewalk
24449,il sapore cafe,"10 akron street, staten island, ny",staten island,pizza,7189830883,critical,40.611730739157,-74.158830217992,no,both
24450,vlife,"348 7 avenue, manhattan, ny",manhattan,vegetarian,2127601900,not critical,40.748115984771,-73.992724107209,no,both
24652,brooklyn halal grill,"1148 liberty avenue, brooklyn, ny",brooklyn,middle eastern,7182355920,not critical,40.678722476786,-73.86684165468199,no,sidewalk
24860,joseph leonard,"170 waverly place, manhattan, ny",manhattan,american,6464298383,critical,40.733651303685,-74.001576821564,yes,both
24861,hibiscus restaurant & lounge ii,"221-13 jamaica avenue, queens, ny",queens,caribbean,7182641100,not critical,40.719753844687,-73.732962847569,yes,both
25092,baodega,"7 west   20 street, manhattan, ny",manhattan,chinese,6463706034,critical,40.739936513657,-73.991563025322,yes,sidewalk
25235,new cheung chow,"2011 new haven avenue, queens, ny",queens,chinese,7184717795,not critical,40.600731939637,-73.75399574593,yes,both
25451,shorty's,"66 madison avenue, manhattan, ny",manhattan,american,2127253900,not critical,40.74358925004,-73.986008575189,no,both
25671,primavera restaurant,"623 church avenue, brooklyn, ny",brooklyn,spanish,7184380447,critical,40.645159577691004,-73.973827900006,no,sidewalk
25675,junior's seafood,"700 west  180 street, manhattan, ny",manhattan,seafood,2125680027,critical,40.849596840283,-73.93673724468701,no,both
25676,18 east gunhill pizza,"18 east gun hill road, bronx, ny",bronx,pizza,7184057088,not critical,40.882412338618,-73.880792827495,yes,both
25727,india cafe,"94-08 lefferts boulevard, queens, ny",queens,indian,7188462842,not critical,40.693772367285,-73.82787974149299,no,sidewalk
25728,hale & hearty soup,"369 lexington avenue, manhattan, ny",manhattan,soups/salads/sandwiches,2122552400,critical,40.750575892891,-73.97666286348,no,sidewalk
25887,la dinastia latin-chinese cuisine,"145 west   72 street, manhattan, ny",manhattan,chinese/cuban,2123623801,critical,40.778068073341,-73.980343330299,yes,both
26128,woodlawn cafe,"3700 jerome avenue, bronx, ny",bronx,american,9144263622,not critical,40.8867380812,-73.87822808213801,no,sidewalk
26377,supoke bar,"68 west   39 street, manhattan, ny",manhattan,asian/asian fusion,6468633331,not critical,40.752421672543,-73.984310338148,no,both
26599,la rola restaurant,"400 east  198 street, bronx, ny",bronx,spanish,6464564488,critical,40.866020638107,-73.886021414235,no,sidewalk
26819,mundo feliz (herbalife),"10450 roosevelt ave, queens, ny",queens,"juice, smoothies, fruit salads",2033565041,critical,40.750300877553,-73.860125679833,yes,both
26821,river thai & beyond,"1766 amsterdam avenue, manhattan, ny",manhattan,thai,6464908290,critical,40.826795763667,-73.94647171439901,no,both
26822,mex carroll diner,"192 columbia street, brooklyn, ny",brooklyn,american,7188521925,not critical,40.685469601327,-74.0024951237,yes,sidewalk
26823,subway,"968 morris park avenue, bronx, ny",bronx,sandwiches,7188921071,critical,40.847639950426995,-73.857245478872,yes,both
26829,sum fung chinese restaurant,"5401 northern boulevard, queens, ny",queens,chinese,7189320411,critical,40.753320697073995,-73.906600654331,yes,sidewalk
27032,olivia's restaurant & lounge,"1854 westchester avenue, bronx, ny",bronx,latin american,3472819588,critical,40.832587678684,-73.863934294693,yes,both
27033,alitalia michelangelo lounge,"nka jfk intl airport, queens, ny",queens,italian,7187097315,not critical,40.648312826068,-73.788281497594,yes,both
27260,martha's country bakery,"41-06 bell boulevard, queens, ny",queens,bakery products/desserts,7182255200,not critical,40.763444857849,-73.770907778586,no,both
27403,thai leaf,"611 86 street, brooklyn, ny",brooklyn,thai,6464967370,critical,40.620311482788,-74.024245982589,no,roadway
27636,kfc,"375 east  149 street, bronx, ny",bronx,chicken,7185858333,critical,40.816335711726,-73.918690589036,no,sidewalk
27639,la nonna krispy krust pizza,"175 kent avenue, brooklyn, ny",brooklyn,pizza,3473842100,not critical,40.718296890851995,-73.963871358562,yes,sidewalk
27846,daily bagel,"1111 1 avenue, manhattan, ny",manhattan,american,2123714907,critical,40.760760235711004,-73.961144525151,no,sidewalk
27999,patricia's,"1082 morris park avenue, bronx, ny",bronx,italian,7184099069,critical,40.8493095734,-73.853536926578,yes,both
28001,the big whiskey,"524 grand street, brooklyn, ny",brooklyn,american,3477254386,critical,40.711018172199005,-73.95029474609001,yes,sidewalk
28002,abbey tavern,"354 3 avenue, manhattan, ny",manhattan,american,2126961011,not critical,40.740583156606,-73.981877288332,yes,roadway
28012,mu ramen,"1209 jackson ave, queens, ny",queens,japanese,9178688903,critical,40.743650790854,-73.950504880401,yes,both
28013,new china one,"677 5 avenue, brooklyn, ny",brooklyn,chinese,7187881166,not critical,40.661716120899,-73.993018313629,yes,roadway
28240,butter beans (unicef),"322 east   44 street, manhattan, ny",manhattan,american,2123267117,critical,40.750802304405,-73.97055959272801,yes,both
28465,santa fe grill & bar,"6025 broadway, bronx, ny",bronx,mexican,7185695095,critical,40.891439279555,-73.897396177997,yes,both
28466,immaculee bakery & restaurant,"1227 nostrand avenue, brooklyn, ny",brooklyn,creole,7187787188,not critical,40.657286443353,-73.950259248318,yes,sidewalk
28727,panda house,"530d conduit boulevard, brooklyn, ny",brooklyn,chinese,7182777700,critical,40.676947002319004,-73.869574358566,no,both
28957,cozy coffee,"925b marcy avenue, brooklyn, ny",brooklyn,coffee/tea,6462075854,not critical,40.681383858026,-73.946415823671,yes,both
29172,packsun,"2160 westchester avenue, bronx, ny",bronx,,3477618951,not applicable,40.834094202167,-73.852537015068,yes,both
29190,riko peruvian cuisine,"4523 greenpoint ave, queens, ny",queens,peruvian,7183615721,critical,40.74194802439,-73.919618949595,yes,sidewalk
29191,four seasons cuisine,"8202 45th ave, queens, ny",queens,chinese,9176210605,not critical,40.741617107084,-73.882767073715,no,both
29403,saints and sinners,"5921 roosevelt ave, queens, ny",queens,american,7183963268,not critical,40.745417416102,-73.905247601708,yes,sidewalk
29555,pqr,"1631 2 avenue, manhattan, ny",manhattan,pizza,9174357736,critical,40.776948272526,-73.952426172216,yes,sidewalk
29716,nanoosh,"173 madison avenue, manhattan, ny",manhattan,mediterranean,2124474345,not critical,40.747321758962,-73.983264924965,no,roadway
29923,gregorys coffee,"485 madison avenue, manhattan, ny",manhattan,coffee/tea,6469829968,critical,40.758818029666,-73.974876794513,no,roadway
29925,tre otto,"1410 madison avenue, manhattan, ny",manhattan,italian,2128608880,not critical,40.788306451913,-73.95337862044,yes,both
29926,verlaine,"110 rivington street, manhattan, ny",manhattan,tapas,2126142494,not critical,40.719918603400004,-73.987824549158,yes,both
29927,wichcraft,"397 greenwich street, manhattan, ny",manhattan,sandwiches,2127800577,not critical,40.720648915224,-74.010075972812,yes,both
29947,taqueria cocoyoc,"211 wyckoff avenue, brooklyn, ny",brooklyn,mexican,7184974489,not critical,40.702239543651,-73.915905347074,no,both
