,name,address,zipcode,borough,cuisine,phone,critical_flag,latitude,longitude,id
80,chateau de capitaine,"2570 coney island avenue, brooklyn, ny",11223.0,brooklyn,seafood,7183392800,critical,40.594168770417,-73.960885366286,79
81,richie rich,"260 east  167 street, bronx, ny",10456.0,bronx,caribbean,9292254490,not critical,40.83341319403,-73.914492177756,80
82,mondayoff by plant love house,"752 coney island avenue, brooklyn, ny",11218.0,brooklyn,thai,7189412022,not critical,40.639210374174,-73.96878942007,81
83,pollo inka peru,"11220 queens boulevard, queens, ny",11375.0,queens,peruvian,7182752828,not critical,40.717792819196,-73.835999126601,82
84,ninos 46,"39 west   46 street, manhattan, ny",10036.0,manhattan,italian,2127194015,critical,40.756604082261,-73.980382174536,83
85,domino's,"3706 east tremont avenue, bronx, ny",10465.0,bronx,pizza,2035360660,not critical,40.82704188951,-73.822659232635,84
86,the new ranch,"1619 westchester avenue, bronx, ny",10472.0,bronx,american,7189910708,critical,40.829462733825004,-73.87474509635899,85
87,hot bagels,"7905 metropolitan avenue, queens, ny",11379.0,queens,bagels/pretzels,7183268510,not critical,40.71320780297,-73.8741022867,86
88,hot bagels,"7905 metropolitan avenue, queens, ny",11379.0,queens,bagels/pretzels,7183268510,not critical,40.71320780297,-73.8741022867,87
89,eclair bakery,"305 east   53 street, manhattan, ny",10022.0,manhattan,bakery products/desserts,2127592253,not critical,40.756584465857,-73.9667237015,88
90,downs river restaurant,"517 stanley avenue, brooklyn, ny",11207.0,brooklyn,caribbean,7182724646,critical,40.657076238083,-73.889201820199,89
91,shake shack,"51 astor pl, manhattan, ny",10003.0,manhattan,hamburgers,6468132190,not critical,40.730176045337,-73.99046018774101,90
92,my bakery ny,"5902 7 avenue, brooklyn, ny",11220.0,brooklyn,bakery products/desserts,7184365318,critical,40.637306448837,-74.01126315824,91
93,smoke,"2751 broadway, manhattan, ny",10025.0,manhattan,american,2128646662,critical,40.801112946301,-73.96791136194,92
94,i love dim sum,"123 avenue u, brooklyn, ny",11223.0,brooklyn,chinese,7189962882,not critical,40.59625696493,-73.97980292159001,93
95,foody's dumpling,"578 9 avenue, manhattan, ny",10036.0,manhattan,chinese,9176393564,not critical,40.758288065537,-73.99271938217,94
96,foody's dumpling,"578 9 avenue, manhattan, ny",10036.0,manhattan,chinese,9176393564,not critical,40.758288065537,-73.99271938217,95
97,chipotle mexican grill,"5102 avenue u, brooklyn, ny",11234.0,brooklyn,tex-mex,3476013468,critical,40.609969984731,-73.92222034217801,96
98,gigi's pizza & pasta,"2020 eastchester road, bronx, ny",10461.0,bronx,pizza,7186844918,not critical,40.853852521707,-73.84343786915,97
99,kreyol flavor,"2816 church avenue, brooklyn, ny",11226.0,brooklyn,caribbean,7188562100,critical,40.650718505144,-73.951002939882,98
100,que chevere,"115 delancey street, manhattan, ny",10002.0,manhattan,spanish,9178556740,critical,40.718502330547,-73.988084546292,99
101,que chevere,"115 delancey street, manhattan, ny",10002.0,manhattan,spanish,9178556740,critical,40.718502330547,-73.988084546292,100
102,harbor eats,"1000 richmond ter, staten island, ny",10310.0,staten island,american,9178373872,critical,40.645224538002,-74.10467411188,101
103,jin jin hong kong cafe,"6224 18 avenue, brooklyn, ny",11204.0,brooklyn,chinese/japanese,7182326222,not critical,40.620686773751004,-73.988609979365,102
104,dunkin,"7519 5 avenue, brooklyn, ny",11209.0,brooklyn,donuts,7184397305,not critical,40.62925704674,-74.02271813085,103
105,el pasillo,"3769 103 street, queens, ny",11368.0,queens,latin american,7184268738,not critical,40.752759564044,-73.864177385157,104
106,auntie guan's kitchen 108,"108 west   14 street, manhattan, ny",10011.0,manhattan,chinese,2122068388,critical,40.737592767193,-73.99743435536101,105
107,auntie guan's kitchen 108,"108 west   14 street, manhattan, ny",10011.0,manhattan,chinese,2122068388,critical,40.737592767193,-73.99743435536101,106
108,prince kabab & chinese restaurant,"3756 74th st, queens, ny",11372.0,queens,indian,3479721965,critical,40.747623098085,-73.891595027492,107
109,loreto kitchen & bar,"280 ashland place, brooklyn, ny",11217.0,brooklyn,,7185541121,not applicable,40.6869854225,-73.978235678483,108
110,americas cafe & grill,"1159 3 avenue, manhattan, ny",10065.0,manhattan,american,2126280740,not critical,40.766837648140005,-73.962707746018,109
111,2020 sabores latinos rest & bakery,"12404 jamaica ave, queens, ny",11418.0,queens,latin american,3475714461,critical,40.700807697933,-73.82636841254501,110
112,las margaritas,"3801 broadway, queens, ny",11103.0,queens,mexican,7187771707,not critical,40.759292213171,-73.919673741624,111
113,keane's bar & restaurant,"4342 katonah avenue, bronx, ny",10470.0,bronx,irish,9292377958,not critical,40.900062984423,-73.867640883899,112
114,keane's bar & restaurant,"4342 katonah avenue, bronx, ny",10470.0,bronx,irish,9292377958,not critical,40.900062984423,-73.867640883899,113
115,mi pequena cholula deli restaurante,"1481 myrtle avenue, brooklyn, ny",11237.0,brooklyn,mexican,7184974982,critical,40.698987517705,-73.916630746068,114
116,mercato,"352 west   39 street, manhattan, ny",10018.0,manhattan,italian,2126432000,critical,40.755941292986,-73.99266549717,115
117,luxor lounge,"118 macdougal street, manhattan, ny",10012.0,manhattan,american,2124755544,not critical,40.729748256599,-74.000681926208,116
118,lamia's fish market,"45 avenue b, manhattan, ny",10009.0,manhattan,mediterranean,2127773650,not critical,40.722964641657,-73.98273351658001,117
119,harry's italian,"2 gold street, manhattan, ny",10038.0,manhattan,italian,2127470797,critical,40.707287588593005,-74.007336342619,118
120,mami ysabel,"5412 flushing ave, queens, ny",11378.0,queens,latin american,6463991842,critical,40.715170811534,-73.91309693052301,119
121,la colombe,"7 bryant park, manhattan, ny",10018.0,manhattan,coffee/tea,2679740928,critical,40.753242483558004,-73.98527384124,120
122,asia kitchen,"8746 britton avenue, queens, ny",11373.0,queens,chinese,7185050999,not critical,40.747818833709005,-73.87873923329701,121
123,little italy pizza,"55 west   45 street, manhattan, ny",10036.0,manhattan,pizza,2127307575,critical,40.756137611511,-73.98120889028,122
124,ample hills creamery,"3402 30th ave, queens, ny",11103.0,queens,frozen desserts,9178640921,critical,40.765695164287,-73.918860952359,123
125,brooklyn diner,"1500 broadway, manhattan, ny",10036.0,manhattan,american,2122655400,critical,40.75684918547,-73.985973293277,124
126,meng bao lai,"4310 8 avenue, brooklyn, ny",11232.0,brooklyn,chicken,6469162888,critical,40.644915536788,-73.999776584852,125
127,sabay thai,"7519 broadway, queens, ny",11373.0,queens,thai,7184249054,not critical,40.746109286570004,-73.890074515959,126
128,big gay ice cream,"207 front street, manhattan, ny",10038.0,manhattan,frozen desserts,2122271715,critical,40.707073691179,-74.003029748252,127
129,momo ramen,"78 5 avenue, brooklyn, ny",11217.0,brooklyn,soups,6462415342,critical,40.68064212633,-73.97760320485,128
130,new china,"5690 mosholu avenue, bronx, ny",10471.0,bronx,chinese,7188841111,not critical,40.905434879643,-73.900843816155,129
131,falafel on broadway,"3151 broadway, manhattan, ny",10027.0,manhattan,middle eastern,2122222300,not critical,40.814315191016995,-73.95929957314901,130
132,vin sur vingt,"1 west   59 street, manhattan, ny",10019.0,manhattan,french,6465599429,critical,40.764589998606,-73.973726638377,131
133,ipic theaters,"11 fulton street, manhattan, ny",10038.0,manhattan,american,2127768272,critical,40.706631770479,-74.003476973664,132
134,papasito mexican grill,"223 dyckman street, manhattan, ny",10034.0,manhattan,mexican,2125440001,critical,40.865727653867005,-73.927487897891,133
135,1001 nights cafe,"2025 richmond avenue, staten island, ny",10314.0,staten island,american,7183708080,critical,40.598281573201,-74.162521484316,134
136,el castillo de jagua ii,"521 grand street, manhattan, ny",10002.0,manhattan,spanish,2129950244,critical,40.714573786457,-73.982082786248,135
137,bestia kitchen,"1353 edward l grant highway, bronx, ny",10452.0,bronx,spanish,9178012958,critical,40.840181173717,-73.921415268261,136
138,gaetana's cucina italiana,"143 christopher street, manhattan, ny",10014.0,manhattan,italian,2126753913,critical,40.732822137636,-74.007692772505,137
139,parlay,"4024 8 avenue, brooklyn, ny",11232.0,brooklyn,american,9173615018,critical,40.646537686336,-73.99807569999099,138
140,new crispy bamboo,"2526 frederick douglas boulevard, manhattan, ny",10030.0,manhattan,chinese,2126945396,critical,40.816234111152,-73.946722298639,139
141,joe's restaurant,"6611 forest avenue, queens, ny",11385.0,queens,italian,7184971300,not critical,40.707433788155,-73.903411803625,140
142,best wingers,"174 delancey street, manhattan, ny",10002.0,manhattan,chicken,6468827370,not critical,40.717557800735,-73.98524928938501,141
143,cafe r,"116 west   32 street, manhattan, ny",10001.0,manhattan,american,2126959550,critical,40.74881290184,-73.989472221139,142
144,souen,"326 east    6 street, manhattan, ny",10003.0,manhattan,japanese,2123881155,not critical,40.727049499467,-73.98774747479399,143
145,raco caliendo pizza,"1512 fulton street, brooklyn, ny",11216.0,brooklyn,pizza,7187743043,critical,40.679885044808,-73.940515045638,144
146,international house dining,"500 riverside drive, manhattan, ny",10027.0,manhattan,american,2123168479,critical,40.814549575644,-73.962474984377,145
147,tomo japanese cafe,"8914 queens blvd, queens, ny",11373.0,queens,japanese,7188039799,critical,40.734597854657004,-73.874159141207,146
148,xin li,"801 59 street, brooklyn, ny",11220.0,brooklyn,chinese,7188518086,critical,40.63587664711,-74.00861472555701,147
149,uogashi,"318 west   51 street, manhattan, ny",10019.0,manhattan,japanese,2125811581,not critical,40.763241787281,-73.986466497649,148
150,gomi-wine-food-friends,"186 avenue a, manhattan, ny",10009.0,manhattan,tapas,6467070707,not critical,40.728868436218,-73.981465563343,149
151,da francesco,"442 graham avenue, brooklyn, ny",11211.0,brooklyn,italian,7183491627,critical,40.718292135071,-73.944993559069,150
152,mama's restaurant jamaican and american food,"2347 2 avenue, manhattan, ny",10035.0,manhattan,caribbean,2124104210,not critical,40.799729834734,-73.935766267997,151
153,ivy juice bar & deli inc,"800 east  149 street, bronx, ny",10455.0,bronx,"juice, smoothies, fruit salads",9174719220,critical,40.81268966085,-73.90651701704701,152
154,1 quetzal,"7210 new utrecht avenue, brooklyn, ny",11228.0,brooklyn,mexican,9296669989,not critical,40.618049600245,-73.999315617304,153
155,white castle,"21317 northern boulevard, queens, ny",11361.0,queens,hamburgers,7182247333,not critical,40.760135659759,-73.770031208298,154
156,parrilla latina,"2501 webster avenue, bronx, ny",10458.0,bronx,spanish,7183293000,not critical,40.861047508586005,-73.892042095807,155
157,la cemita mexican grill,"6417 20 avenue, brooklyn, ny",11204.0,brooklyn,mexican,7183762364,critical,40.616953501234995,-73.985390471201,156
158,bravo african restaurant 2,"3744 white plains road, bronx, ny",10467.0,bronx,african,3474650822,not critical,40.882689279405,-73.863281665997,157
159,j's on the bay,"1189 bay street, staten island, ny",10305.0,staten island,american,7187200922,not critical,40.614377077488996,-74.066338239826,158
160,kennedy fried chicken,"8905c 165th st, queens, ny",11432.0,queens,chicken,5168283189,critical,40.707378251953,-73.796089608214,159
161,sakura kai,"3515 ditmars blvd, queens, ny",11105.0,queens,japanese,7187772188,critical,40.774734266490995,-73.908718766609,160
162,panino toasty delicious,"5401 13 avenue, brooklyn, ny",11219.0,brooklyn,,7185000344,not applicable,40.632165919487,-73.99508220660401,161
163,elegant chinese restaurant,"21206 hillside avenue, queens, ny",11427.0,queens,chinese,7187768270,critical,40.724807096616004,-73.75387149782699,162
164,numero 28,"107-12 70 road, queens, ny",11375.0,queens,italian,7185444600,critical,40.721116246567,-73.845529443198,163
165,new york grill restaurant,"65-16 myrtle avenue, queens, ny",11385.0,queens,american,7183810100,not critical,40.701179844576004,-73.88974134788499,164
166,sabor latino restaurant,"9535 40 road, queens, ny",11373.0,queens,latin american,7184573966,not critical,40.748533707038,-73.869845103999,165
167,applebee's,"3801 35 avenue, queens, ny",11101.0,queens,american,7189437404,not critical,40.755451682811,-73.92278253859199,166
168,mura,"369 5 avenue, brooklyn, ny",11215.0,brooklyn,japanese,7189651288,critical,40.671278094837,-73.984531374345,167
169,cor thai you,"1310 cortelyou road, brooklyn, ny",11226.0,brooklyn,thai,7186767388,critical,40.640505109754,-73.965974688516,168
170,cor thai you,"1310 cortelyou road, brooklyn, ny",11226.0,brooklyn,thai,7186767388,critical,40.640505109754,-73.965974688516,169
171,il sapore cafe,"10 akron street, staten island, ny",10314.0,staten island,pizza,7189830883,critical,40.611730739157,-74.158830217992,170
172,vlife,"348 7 avenue, manhattan, ny",10001.0,manhattan,vegetarian,2127601900,not critical,40.748115984771,-73.992724107209,171
173,brooklyn halal grill,"1148 liberty avenue, brooklyn, ny",11208.0,brooklyn,middle eastern,7182355920,not critical,40.678722476786,-73.86684165468199,172
174,joseph leonard,"170 waverly place, manhattan, ny",10014.0,manhattan,american,6464298383,critical,40.733651303685,-74.001576821564,173
175,sticky rice,"85 orchard street, manhattan, ny",10002.0,manhattan,thai,2122748208,critical,40.717865759507,-73.990375378245,174
176,hibiscus restaurant & lounge ii,"221-13 jamaica avenue, queens, ny",11428.0,queens,caribbean,7182641100,not critical,40.719753844687,-73.732962847569,175
177,baodega,"7 west   20 street, manhattan, ny",10011.0,manhattan,chinese,6463706034,critical,40.739936513657,-73.991563025322,176
178,new cheung chow,"2011 new haven avenue, queens, ny",11691.0,queens,chinese,7184717795,not critical,40.600731939637,-73.75399574593,177
179,shorty's,"66 madison avenue, manhattan, ny",10016.0,manhattan,american,2127253900,not critical,40.74358925004,-73.986008575189,178
180,shorty's,"66 madison avenue, manhattan, ny",10016.0,manhattan,american,2127253900,not critical,40.74358925004,-73.986008575189,179
181,shorty's,"66 madison avenue, manhattan, ny",10016.0,manhattan,american,2127253900,not critical,40.74358925004,-73.986008575189,180
182,primavera restaurant,"623 church avenue, brooklyn, ny",11218.0,brooklyn,spanish,7184380447,critical,40.645159577691004,-73.973827900006,181
183,junior's seafood,"700 west  180 street, manhattan, ny",10033.0,manhattan,seafood,2125680027,critical,40.849596840283,-73.93673724468701,182
184,18 east gunhill pizza,"18 east gun hill road, bronx, ny",10467.0,bronx,pizza,7184057088,not critical,40.882412338618,-73.880792827495,183
185,18 east gunhill pizza,"18 east gun hill road, bronx, ny",10467.0,bronx,pizza,7184057088,not critical,40.882412338618,-73.880792827495,184
186,india cafe,"94-08 lefferts boulevard, queens, ny",11419.0,queens,indian,7188462842,not critical,40.693772367285,-73.82787974149299,185
187,hale & hearty soup,"369 lexington avenue, manhattan, ny",10017.0,manhattan,soups/salads/sandwiches,2122552400,critical,40.750575892891,-73.97666286348,186
188,la dinastia latin-chinese cuisine,"145 west   72 street, manhattan, ny",10023.0,manhattan,chinese/cuban,2123623801,critical,40.778068073341,-73.980343330299,187
189,woodlawn cafe,"3700 jerome avenue, bronx, ny",10467.0,bronx,american,9144263622,not critical,40.8867380812,-73.87822808213801,188
190,supoke bar,"68 west   39 street, manhattan, ny",10018.0,manhattan,asian/asian fusion,6468633331,not critical,40.752421672543,-73.984310338148,189
191,la rola restaurant,"400 east  198 street, bronx, ny",10458.0,bronx,spanish,6464564488,critical,40.866020638107,-73.886021414235,190
192,mundo feliz (herbalife),"10450 roosevelt ave, queens, ny",11368.0,queens,"juice, smoothies, fruit salads",2033565041,critical,40.750300877553,-73.860125679833,191
193,river thai & beyond,"1766 amsterdam avenue, manhattan, ny",10031.0,manhattan,thai,6464908290,critical,40.826795763667,-73.94647171439901,192
194,mex carroll diner,"192 columbia street, brooklyn, ny",11231.0,brooklyn,american,7188521925,not critical,40.685469601327,-74.0024951237,193
195,subway,"968 morris park avenue, bronx, ny",10462.0,bronx,sandwiches,7188921071,critical,40.847639950426995,-73.857245478872,194
196,sum fung chinese restaurant,"5401 northern boulevard, queens, ny",11377.0,queens,chinese,7189320411,critical,40.753320697073995,-73.906600654331,195
197,olivia's restaurant & lounge,"1854 westchester avenue, bronx, ny",10472.0,bronx,latin american,3472819588,critical,40.832587678684,-73.863934294693,196
198,alitalia michelangelo lounge,"nka jfk intl airport, queens, ny",11430.0,queens,italian,7187097315,not critical,40.648312826068,-73.788281497594,197
199,martha's country bakery,"41-06 bell boulevard, queens, ny",11361.0,queens,bakery products/desserts,7182255200,not critical,40.763444857849,-73.770907778586,198
200,martha's country bakery,"41-06 bell boulevard, queens, ny",11361.0,queens,bakery products/desserts,7182255200,not critical,40.763444857849,-73.770907778586,199
201,thai leaf,"611 86 street, brooklyn, ny",11209.0,brooklyn,thai,6464967370,critical,40.620311482788,-74.024245982589,200
202,kfc,"375 east  149 street, bronx, ny",10455.0,bronx,chicken,7185858333,critical,40.816335711726,-73.918690589036,201
203,la nonna krispy krust pizza,"175 kent avenue, brooklyn, ny",11249.0,brooklyn,pizza,3473842100,not critical,40.718296890851995,-73.963871358562,202
204,daily bagel,"1111 1 avenue, manhattan, ny",10065.0,manhattan,american,2123714907,critical,40.760760235711004,-73.961144525151,203
205,patricia's,"1082 morris park avenue, bronx, ny",10461.0,bronx,italian,7184099069,critical,40.8493095734,-73.853536926578,204
206,the big whiskey,"524 grand street, brooklyn, ny",11211.0,brooklyn,american,3477254386,critical,40.711018172199005,-73.95029474609001,205
208,abbey tavern,"354 3 avenue, manhattan, ny",10010.0,manhattan,american,2126961011,not critical,40.740583156606,-73.981877288332,206
209,mu ramen,"1209 jackson ave, queens, ny",11101.0,queens,japanese,9178688903,critical,40.743650790854,-73.950504880401,207
